state,year,cpi,pop,packpc,income,tax,avgprs,taxs,log_Q,log_I,log_P,CT,T
SD,1985,1.07599998,698000,106.590256,8340000,31,97.0833359,31,4.6689921,2.407348949,4.502319299,28.81040946,0
TN,1985,1.07599998,4716000,129.834595,57749668,29,101.945503,34.7705002,4.866261294,2.431906175,4.551187943,26.95167336,5.362918501
TX,1985,1.07599998,16275000,115.102928,231003152,35.25,107.379997,39.3800011,4.745826754,2.579550724,4.603123474,32.76022366,3.838291056
UT,1985,1.07599998,1643000,68.046257,19462380,28,110.195839,34.2374992,4.220187724,2.398709089,4.629008694,26.02230532,5.79693245
VA,1985,1.07599998,5716000,134.009796,87361632,18.5000019,91.6153336,22.0236683,4.897912902,2.65353649,4.444348212,17.19331064,3.27478296
VT,1985,1.07599998,530000,145.28302,6887097,33,100.983337,33,4.978683702,2.49127749,4.54170508,30.66914555,0
WA,1985,1.07599998,4401000,96.2281265,64846548,39,129.46109,47.4694176,4.56672169,2.616941448,4.79012993,36.24535383,7.871206094
WI,1985,1.07599998,4748000,107.876999,65732720,41,114.590004,46.456665,4.68099168,2.554622903,4.668110132,38.10408993,5.071250094
WV,1985,1.07599998,1907000,112.847404,20852964,33,108.911247,38.1862488,4.726036499,2.318714327,4.61728286,30.66914555,4.819933919
WY,1985,1.07599998,500000,129.399994,7116756,24,93.4666672,24,4.862908336,2.582348741,4.464354429,22.30483313,0
AL,1995,1.52399993,4262731,101.085434,83903280,40.5000038,158.371338,41.9046707,4.61596604,2.558416261,4.643604105,26.57480686,0.921697483
AR,1995,1.52399993,2480121,111.042969,45995496,55.5,175.542511,63.859169,4.709917235,2.498897718,4.74654283,36.41732451,5.485019281
AZ,1995,1.52399993,4306908,71.9541702,88870496,65.3333282,198.607498,74.7908249,4.276029391,2.605621552,4.869992094,42.8696399,6.205706781
CA,1995,1.52399993,31493524,56.8593063,771470144,61,210.504669,74.7713318,4.040579906,2.777177624,4.928169422,40.02624856,9.03630737
CO,1995,1.52399993,3738061,82.5829239,92946544,44,167.350006,44,4.413802927,2.792119093,4.698749052,28.8713924,0
CT,1995,1.52399993,3265293,79.4721909,104315120,74,218.280502,86.3554993,4.37540716,3.042728408,4.964442531,48.55643268,8.107283378
DE,1995,1.52399993,718265,124.466599,18237436,48,165.600006,48,4.824037399,2.813054691,4.688236867,31.49606444,0
FL,1995,1.52399993,14185403,93.0745544,333525344,57.9000015,187.717178,68.5255051,4.533400832,2.736166967,4.813598046,37.99212871,6.972115543
GA,1995,1.52399993,7188538,97.4746246,159800448,36,156.573074,37.4314156,4.579592084,2.680099612,4.632184416,23.62204833,0.939249125
IA,1995,1.52399993,2840860,92.4015961,60170928,60,190.889999,69.0899963,4.526144252,2.631744078,4.830358929,39.37008055,5.964564775
ID,1995,1.52399993,1165000,74.8497849,22868920,52,179.637512,60.5541687,4.315483237,2.555719285,4.769602587,34.12073648,5.612971846
IL,1995,1.52399993,11884935,83.2650757,304767456,68.0000076,198.476166,79.2345047,4.422029202,2.822939003,4.869330611,44.61942961,7.371717596
IN,1995,1.52399993,5791819,134.258347,126525008,39.5,154.533752,46.8587494,4.899765907,2.662655164,4.619074121,25.91863636,4.828575944
KS,1995,1.52399993,2586942,88.7534409,56626672,48,175.210007,56.3433342,4.485862198,2.664665216,4.744646883,31.49606444,5.474628992
KY,1995,1.52399993,3855248,172.647781,74079712,27,145.979675,35.2630005,5.151253571,2.534367954,4.562128988,17.71653625,5.421916588
LA,1995,1.52399993,4327978,105.176132,84572688,44,167.795349,50.4536667,4.655636392,2.551172508,4.701406665,28.8713924,4.23468963
MA,1995,1.52399993,6062335,76.6206436,170051568,75,217.105011,85.3383331,4.338866539,2.912668281,4.959042747,49.21260069,6.783683448
MD,1995,1.52399993,5023650,77.4735489,135115456,60,186.033752,68.8587494,4.349936574,2.87063447,4.804589708,39.37008055,5.812827957
ME,1995,1.52399993,1237438,102.46978,25045934,61,197.230652,72.1640015,4.629567926,2.586329974,4.863035455,40.02624856,7.325460638
MI,1995,1.52399993,9659871,81.3882523,231594240,99,240.84967,112.633003,4.399230942,2.755668169,5.062834552,64.96063291,8.945540437
MN,1995,1.52399993,4605445,82.9452972,113216856,72,220.348663,86.4153366,4.418181321,2.780727349,4.973872712,47.24409666,9.458882718
MO,1995,1.52399993,5324610,122.450279,117639672,41.0000038,157.230087,42.3884201,4.807705062,2.673948445,4.636371843,26.90289087,0.911034359
MS,1995,1.52399993,2690788,105.582451,46241956,42,169.229401,53.0710831,4.659492174,2.422715026,4.709916786,27.55905638,7.264490557
MT,1995,1.52399993,868522,87.1595688,16296835,42,156.216675,42,4.467740563,2.510594868,4.629905575,27.55905638,0
NC,1995,1.52399993,7185403,121.538063,157633568,29,149.994003,34.769001,4.800227489,2.666883131,4.589256902,19.02887227,3.785433901
ND,1995,1.52399993,641548,79.8069687,12243384,68,192.248672,78.8820038,4.379610828,2.527518571,4.837451289,44.61942462,7.140422769
NE,1995,1.52399993,1635142,87.2707062,36293064,58,182.175003,66.6750031,4.469014853,2.678558587,4.783629369,38.05774453,5.692259513
NH,1995,1.52399993,1145604,156.336746,28649564,49,166.641663,49,5.052012309,2.797867805,4.694507365,32.15223245,0
NJ,1995,1.52399993,7965523,80.3713684,233208576,64,203.087173,75.4954987,4.386657998,2.955472214,4.892296899,41.99475259,7.542978496
NM,1995,1.52399993,1682417,64.668869,31716160,45,176.14624,53.3879166,4.169279927,2.515256469,4.749976148,29.52756041,5.503882536
NV,1995,1.52399993,1525777,93.5261154,39377292,59,206.599167,72.515831,4.538240706,2.829347105,4.909442113,38.71391254,8.868655919
NY,1995,1.52399993,18150928,70.8173218,503163328,80,221.858002,88.5329971,4.260103629,2.900854725,4.980699135,52.49344073,5.599079719
OH,1995,1.52399993,11155493,111.380104,255312928,48,165.891251,55.8995819,4.712948712,2.709219528,4.689994048,31.49606444,5.183452928
OK,1995,1.52399993,3265547,108.680107,63333300,47,170.134995,55.1016655,4.688408769,2.543645563,4.715253799,30.83989643,5.316053722
OR,1995,1.52399993,3141421,92.1557465,71209312,62,190.300003,62,4.523480042,2.69960994,4.827263379,40.68241657,0
PA,1995,1.52399993,12044780,95.6430893,285923232,55,176.163162,64.9714966,4.560623443,2.745753573,4.750072211,36.0892405,6.542977072
RI,1995,1.52399993,989203,92.5998001,23786644,80,224.459244,94.6842499,4.528286983,2.758641546,4.992355738,52.49344073,9.635335023
SC,1995,1.52399993,3699943,108.082748,72050072,31,152.818741,38.2770844,4.682897119,2.547705496,4.607914108,20.34120828,4.774989983
SD,1995,1.52399993,728251,97.2192307,14454129,47,168.037994,53.4630013,4.576968539,2.566751216,4.702851697,30.83989643,4.240814696
TN,1995,1.52399993,5241168,122.320053,114259984,37,167.067001,49.3753319,4.806640995,2.660593628,4.697056524,24.27821634,8.120296895
TX,1995,1.52399993,18679706,73.0793076,402096768,65,198.202332,76.2190018,4.291545257,2.647916671,4.867949976,42.65092059,7.361550076
UT,1995,1.52399993,1976774,49.2721977,37278220,50.5,180.976257,59.1179161,3.897359981,2.515604608,4.777027435,33.13648446,5.65480085
VA,1995,1.52399993,6601392,105.386871,161441792,26.5000057,166.661255,34.4362564,4.657638065,2.775525709,4.694624928,17.38845598,5.207513822
VT,1995,1.52399993,582827,122.334755,12448607,44,175.638748,52.3637505,4.806761181,2.640135195,4.747090906,28.8713924,5.488025515
WA,1995,1.52399993,5431024,65.5309219,129680832,80.5,239.109344,96.1426697,4.182522121,2.751610184,5.055582542,52.82152474,10.26421943
WI,1995,1.52399993,5137004,92.4663467,115959680,62,201.381256,71.5895844,4.526844759,2.695434103,4.883861496,40.68241657,6.292378504
WV,1995,1.52399993,1820560,115.568832,32611268,41,166.517181,50.425499,4.749866301,2.464175315,4.693760082,26.90288837,6.184710914
WY,1995,1.52399993,478447,112.238136,10293195,36,158.541656,36,4.720622828,2.647354423,4.644678961,23.62204833,0
